county,country,latitude,longitude
Aberdeenshire,Scotland,57.1666670003429,-2.666667
Angus,Scotland,56.6666670000929,-2.916667
Argyllshire,Scotland,56.2517332998984,-5.2513764
Ayrshire,Scotland,55.4999999995891,-4.5
Banffshire,Scotland,57.5000000005155,-3.083333
Berwickshire,Scotland,55.749999999685,-2.5
Buckinghamshire,England,51.749999999142,-0.75
Buteshire,Scotland,55.749999999685,-5.25
Caithness,Scotland,58.4302736820931,-3.46497948172142
Cambridgeshire,England,52.3333329990948,0.083333
Cardiganshire,Wales,52.2499999990994,-4
Clackmannanshire,Scotland,56.1663949998603,-3.7513968
Cornwall,England,50.4166669993613,-4.75
County Durham,England,54.6666669993267,-1.75
Derbyshire,England,53.1666669990947,-1.583333
Devon,England,50.7499999992948,-3.75
Dorset,England,50.7499999992948,-2.333333
Dumfries and Galloway,Scotland,55.0833329994464,-3.833333
Dumfriesshire,Scotland,55.1666669994731,-3.5
East Ayrshire,Scotland,55.4999999995891,-4.25
East Dunbartonshire,Scotland,55.9333329997599,-4.2
East Lothian,Scotland,55.9157969997526,-2.7511952
East Riding of Yorkshire,England,53.9112322991708,-0.5813105
Fife,Scotland,56.3333330999355,-3.0000001
Gloucestershire,England,51.8333312991331,-2.1666674
Gwent,Wales,51.6666716991515,-3.000007
Hampshire,England,51.0833329992353,-1.166667
Herefordshire,England,52.0833329991107,-2.75
Highland,Scotland,57.506635700519,-5.0038367
Inverclyde,Scotland,55.899999999746,-4.75
Invernessshire,Scotland,57.0833330003004,-4.666667
Isle of Anglesey,Wales,53.2499999990995,-4.333333
Kent,England,51.2474822992089,0.7105077
Kirkcudbrightshire,Scotland,54.9999999994206,-4
Lanarkshire,Scotland,55.5752965996172,-3.833333
Leicestershire,England,52.6666669990846,-1
Lincolnshire,England,53.1666669990947,-0.25
Mid Glamorgan,Wales,51.4999999991725,-3.45
Midlothian,Scotland,55.8333329997186,-3.083333
Monmouthshire,Wales,51.750105799142,-2.8333331
Moray,Scotland,57.4166670004721,-3.25
Norfolk,England,52.6666669990846,1
Northamptonshire,England,52.2499999990994,-0.833333
Northumberland,England,55.2499999995008,-2.000559
Oxfordshire,England,51.8333329991332,-1.25
Pembrokeshire,Wales,51.8339208991331,-4.916667
Perth and Kinross,Scotland,56.500000000013,-3.75
Renfrewshire,Scotland,55.8333329997186,-4.5
Selkirkshire,Scotland,55.4999999995891,-3
Shetland Islands,Scotland,60.3333330016954,-1.333333
Somerset,England,51.0833329992353,-3
South Lanarkshire,Scotland,55.5831633996202,-3.8332212
Stirlingshire,Scotland,56.0701207998181,-3.9087351
Strathclyde Region,Scotland,55.999999999788,-5.166667
Sutherland,Scotland,58.2500999009044,-4.5000946
Tayside Region,Scotland,56.416666999974,-3.533333
The Scottish Borders,Scotland,55.5833329996202,-2.833333
Tyne and Wear,England,54.9166669993957,-1.566667
West Dunbartonshire,Scotland,55.9666669997739,-4.533333
Western Isles,Scotland,57.6666670006025,-7.166667
West Glamorgan,Wales,51.5833329991617,-3.75
West Lothian,Scotland,55.9166669997529,-3.5
West Sussex,England,50.9999999992494,-0.416667
Wiltshire,England,51.2499999992085,-1.916667
